CRASH_ID,CRASH_DATE,CRASH_TIME,SEVERITY,CRASH_TYPE,CYCLISTS,CYCLIST_CASUALTIES,REPORTED_LOCATION,LATITUDE,LONGITUDE,LOCATION_1
1158085,06 April 2017,14:30,Injury,Same direction side swipe,1,1,LATHLAIN STREET (WEEDON -> WALES),-35.240585,149.063792,"(-35.240585, 149.063792)"
1111582,20 May 2015,14:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,MCEWAN AVENUE (RAILWAY -> HAZEL),-35.342522,149.229527,"(-35.342522, 149.229527)"
1055356,04 February 2013,07:48,Property Damage Only,Right turn into oncoming vehicle,1,0,HINDMARSH/WILLIAMSON INTERSECTION,-35.341578,149.047085,"(-35.341578, 149.047085)"
1162425,07 June 2017,16:15,Property Damage Only,Right angle collision,1,0,COMMONWEALTH/CORKHILL INTERSECTION,-35.288389,149.127588,"(-35.288389, 149.127588)"
1137889,26 June 2016,06:40,Injury,Right angle collision,1,1,HINDMARSH/MELROSE INTERSECTION,-35.348701,149.084132,"(-35.348701, 149.084132)"
1082003,20 February 2014,06:45,Property Damage Only,Right turn into oncoming vehicle,1,0,MAJURA/SPITFIRE/MEDDHUNG INTERSECTION,-35.297544,149.187189,"(-35.297544, 149.187189)"
1036655,22 May 2012,17:28,Injury,Same direction side swipe,1,1,BUNDA/NORTHBOURNE/RUDD INTERSECTION,-35.277113,149.12925,"(-35.277113, 149.12925)"
1179180,01 March 2018,08:30,Property Damage Only,Collision while one vehicle reversing,1,0,BARRY/MOORE INTERSECTION,-35.275551,149.128306,"(-35.275551, 149.128306)"
1108456,01 April 2015,18:20,Property Damage Only,Other - Vehicle to Vehicle,1,0,MARCUS CLARKE/UNIVERSITY INTERSECTION,-35.279954,149.125123,"(-35.279954, 149.125123)"
1048301,01 February 2012,18:15,Property Damage Only,Right angle collision,1,0,MELROSE/THEODORE INTERSECTION,-35.338567,149.0835,"(-35.338567, 149.0835)"
1138674,12 July 2016,08:10,Injury,Same direction side swipe,1,1,MACARTHUR/NORTHBOURNE/WAKEFIELD INTERSECTION,-35.260533,149.132234,"(-35.260533, 149.132234)"
1151533,09 January 2017,09:45,Injury,Other -  Single Vehicle (On Road),1,1,MORPHETT/NORTHBOURNE INTERSECTION,-35.253564,149.13326,"(-35.253564, 149.13326)"
1119567,17 September 2015,05:40,Injury,Right angle collision,1,1,FURNEAUX/MANUKA INTERSECTION,-35.319097,149.133127,"(-35.319097, 149.133127)"
1149172,26 November 2016,19:35,Property Damage Only,Other - Vehicle to Vehicle,1,0,ANTILL/BADHAM INTERSECTION,-35.248637,149.13792,"(-35.248637, 149.13792)"
1181165,30 March 2018,09:50,Injury,Right angle collision,1,1,BREMER/CAPTAIN COOK INTERSECTION,-35.32841,149.13601,"(-35.32841, 149.13601)"
1120624,18 September 2015,09:45,Property Damage Only,Other - Vehicle to Vehicle,1,0,COWPER STREET (DICKSON SHOPS ACCESS -> ANTILL),-35.250431,149.14069,"(-35.250431, 149.14069)"
1181919,06 December 2017,16:15,Injury,Same direction side swipe,1,1,CAPTAIN COOK/FRANKLIN INTERSECTION,-35.320471,149.134783,"(-35.320471, 149.134783)"
1049331,28 October 2012,16:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,FLYNN DRIVE (KAYE -> KAYE),-35.298227,149.123019,"(-35.298227, 149.123019)"
