ID,Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Languages,Size,Primary Genre,Genres,Original Release Date,Current Version Release Date,,,,,,,,,,,,,,,,,,,,
294166538,Smart Rummy,2.5,69,2.99,,Pramod Shankar,4+,EN,44329984,Games,"Games, Strategy, Card, Entertainment",4/11/2008,5/12/2016,,,,,,,,,,,,,,,,,,,,
294193726,Expert Sudoku,4,523,2.99,,Mighty Mighty Good Games,4+,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",9543680,Games,"Games, Strategy, Entertainment, Puzzle",21/10/2008,30/05/2017,,,,,,,,,,,,,,,,,,,,
294596096,Edgewise,3.5,23,0,"1.99, 0.99",Greggy Bits Software,4+,EN,1298432,Games,"Games, Card, Strategy",25/10/2008,26/06/2015,,,,,,,,,,,,,,,,,,,,
294631172,Chess Genius,4,156,5.99,,Lang Software Limited,4+,"EN, FR, DE, IT, ES",1751040,Games,"Games, Strategy, Board, Entertainment",8/11/2008,5/08/2016,,,,,,,,,,,,,,,,,,,,
295445501,Chess - tChess Pro,4,3062,7.99,,Tom Kerrigan,4+,"EN, FR, DE, JA, KO, ZH",7517184,Games,"Games, Board, Entertainment, Strategy",5/11/2008,7/04/2019,,,,,,,,,,,,,,,,,,,,
295462558,Toobz,3.5,2425,0.99,,Jason Haslup,4+,EN,9641984,Games,"Games, Strategy, Puzzle",5/11/2008,13/09/2014,,,,,,,,,,,,,,,,,,,,
296183853,Color Sudoku,3.5,518,2.99,,Mighty Mighty Good Games,4+,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",15837184,Games,"Games, Puzzle, Entertainment, Strategy",14/11/2008,30/05/2017,,,,,,,,,,,,,,,,,,,,
296756437,Chess - tChess Lite,3.5,5488,0.99,,Tom Kerrigan,4+,"EN, FR, DE, JA, KO, ZH",5874688,Games,"Games, Strategy, Entertainment, Board",15/11/2008,7/04/2019,,,,,,,,,,,,,,,,,,,,
296853351,Checkers Online Lite,2.5,3521,0,,EUROCENTER,4+,EN,9402423,Games,"Games, Strategy, Board",29/11/2008,29/11/2008,,,,,,,,,,,,,,,,,,,,
297558390,TapDefense,3.5,273687,0,"0.99, 2.99, 1.99",TapJoy,9+,EN,7774384,Games,"Games, Strategy, Entertainment, Simulation",24/11/2008,5/12/2012,,,,,,,,,,,,,,,,,,,,
297643414,Chinese Chess (Xiangqi),3,67,0.99,,Easy 8 Software,4+,EN,12423168,Games,"Games, Strategy, Board",24/11/2008,30/12/2014,,,,,,,,,,,,,,,,,,,,
298748403,Warfare Incorporated,3.5,5931,0,,"Spiffcode, Inc.",9+,EN,7705600,Games,"Games, Strategy, Entertainment, Action",4/12/2008,20/06/2019,,,,,,,,,,,,,,,,,,,,
298908505,Strategery,4,2798,1.99,,Affogato LLC,4+,EN,15547392,Games,"Games, Board, Strategy, Entertainment",9/12/2008,17/06/2017,,,,,,,,,,,,,,,,,,,,
